2024-03-05T15:24:21.754+0530 [INFO]  Main.Core: Initializing IPFS
2024-03-05T15:24:25.506+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2024-03-05T15:24:25.541+0530 [INFO]  Main.Core: Initializing daemon...
2024-03-05T15:24:25.541+0530 [INFO]  Main.Core: Kubo version: 0.19.2
2024-03-05T15:24:25.541+0530 [INFO]  Main.Core: Repo version: 13
2024-03-05T15:24:25.541+0530 [INFO]  Main.Core: System version: amd64/linux
2024-03-05T15:24:25.541+0530 [INFO]  Main.Core: Golang version: go1.19.8
2024-03-05T15:24:25.593+0530 [INFO]  Main.Core: 
2024-03-05T15:24:25.593+0530 [INFO]  Main.Core: Computed default go-libp2p Resource Manager limits based on:
2024-03-05T15:24:25.593+0530 [INFO]  Main.Core:     - 'Swarm.ResourceMgr.MaxMemory': "8.2 GB"
2024-03-05T15:24:25.593+0530 [INFO]  Main.Core:     - 'Swarm.ResourceMgr.MaxFileDescriptors': 524288
2024-03-05T15:24:25.593+0530 [INFO]  Main.Core: 
2024-03-05T15:24:25.593+0530 [INFO]  Main.Core: Theses can be inspected with 'ipfs swarm resources'.
2024-03-05T15:24:25.593+0530 [INFO]  Main.Core: 
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: Swarm key fingerprint: e5b34b687a4f51be1e700825ad8de4ef
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4004
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: Swarm listening on /ip4/172.17.0.1/tcp/4004
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.28.230/tcp/4004
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: Swarm listening on /ip6/2409:40f3:109d:9443:a263:398d:2dd7:d55f/tcp/4004
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: Swarm listening on /ip6/2409:40f3:109d:9443:bf41:ff4d:f80c:aba5/tcp/4004
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4004
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4004
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.28.230/tcp/4004
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: Swarm announcing /ip6/2409:40f3:109d:9443:a263:398d:2dd7:d55f/tcp/4004
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4004
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5004
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5004/webui
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8083
2024-03-05T15:24:35.599+0530 [INFO]  Main.Core: IPFS Daemon is ready
2024-03-05T15:24:37.614+0530 [INFO]  Main.Core: IPFS daemon requested to close
2024-03-05T15:24:37.614+0530 [INFO]  Main.Core: IPFS daemon finished
2024-03-05T15:24:37.624+0530 [INFO]  Main.Core: IPFS Initialized
2024-03-05T15:24:37.625+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2024-03-05T15:24:37.644+0530 [INFO]  Main.Core: Initializing daemon...
2024-03-05T15:24:37.644+0530 [INFO]  Main.Core: Kubo version: 0.19.2
2024-03-05T15:24:37.644+0530 [INFO]  Main.Core: Repo version: 13
2024-03-05T15:24:37.644+0530 [INFO]  Main.Core: System version: amd64/linux
2024-03-05T15:24:37.644+0530 [INFO]  Main.Core: Golang version: go1.19.8
2024-03-05T15:24:37.697+0530 [INFO]  Main.Core: 
2024-03-05T15:24:37.697+0530 [INFO]  Main.Core: Computed default go-libp2p Resource Manager limits based on:
2024-03-05T15:24:37.697+0530 [INFO]  Main.Core:     - 'Swarm.ResourceMgr.MaxMemory': "8.2 GB"
2024-03-05T15:24:37.697+0530 [INFO]  Main.Core:     - 'Swarm.ResourceMgr.MaxFileDescriptors': 524288
2024-03-05T15:24:37.697+0530 [INFO]  Main.Core: 
2024-03-05T15:24:37.697+0530 [INFO]  Main.Core: Theses can be inspected with 'ipfs swarm resources'.
2024-03-05T15:24:37.697+0530 [INFO]  Main.Core: 
2024-03-05T15:24:47.704+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2024-03-05T15:24:47.704+0530 [INFO]  Main.Core: Swarm key fingerprint: e5b34b687a4f51be1e700825ad8de4ef
2024-03-05T15:24:47.704+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4004
2024-03-05T15:24:47.705+0530 [INFO]  Main.Core: Swarm listening on /ip4/172.17.0.1/tcp/4004
2024-03-05T15:24:47.705+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.28.230/tcp/4004
2024-03-05T15:24:47.705+0530 [INFO]  Main.Core: Swarm listening on /ip6/2409:40f3:109d:9443:a263:398d:2dd7:d55f/tcp/4004
2024-03-05T15:24:47.705+0530 [INFO]  Main.Core: Swarm listening on /ip6/2409:40f3:109d:9443:bf41:ff4d:f80c:aba5/tcp/4004
2024-03-05T15:24:47.705+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4004
2024-03-05T15:24:47.705+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2024-03-05T15:24:47.705+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4004
2024-03-05T15:24:47.705+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.28.230/tcp/4004
2024-03-05T15:24:47.705+0530 [INFO]  Main.Core: Swarm announcing /ip6/2409:40f3:109d:9443:a263:398d:2dd7:d55f/tcp/4004
2024-03-05T15:24:47.705+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4004
2024-03-05T15:24:47.705+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5004
2024-03-05T15:24:47.705+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5004/webui
2024-03-05T15:24:47.705+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8083
2024-03-05T15:24:47.705+0530 [INFO]  Main.Core: IPFS Daemon is ready
2024-03-05T15:24:47.707+0530 [INFO]  Main.Core: Node PeerID : 12D3KooWRkzNh2vzCuG5MfEEga81mCpxrrYAm4N25AvSdQFkM6gd
2024-03-05T15:24:47.707+0530 [INFO]  Main.Core: Setting up the core
2024-03-05T15:24:47.709+0530 [INFO]  Main.Core: Starting the core
2024-03-05T15:24:47.710+0530 [INFO]  Main.Core.enswebserver: Starting Server at localhost:24010
2024-03-05T15:24:47.710+0530 [INFO]  Main.Core.enswebserver: Server running at : https://localhost:24010
2024-03-05T15:24:47.710+0530 [INFO]  Main.grpc: GRPC Server created
2024-03-05T15:24:47.710+0530 [INFO]  Main.grpc: Running GRPC server...
2024-03-05T15:24:47.710+0530 [INFO]  Main: Swagger URL : http://localhost:20002/swagger/index.html
2024-03-05T15:24:47.710+0530 [INFO]  Main: Core version : 0.0.9
2024-03-05T15:24:47.710+0530 [INFO]  Main: Starting server...
2024-03-05T15:24:47.710+0530 [INFO]  Main.enswebserver: Starting Server at localhost:20002
2024-03-05T15:24:47.711+0530 [INFO]  Main.enswebserver: Server running at : http://localhost:20002
2024-03-05T15:54:08.226+0530 [INFO]  Main.Core: DID : bafybmiedc65ggckpx45umfniy2sa2xhzesybplaot7agn26m5r6rg4z4xa, Time to create DID & Keys : 1m21.694864731s
2024-03-05T17:33:31.539+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2024-03-05T17:33:31.566+0530 [INFO]  Main.Core: Initializing daemon...
2024-03-05T17:33:31.566+0530 [INFO]  Main.Core: Kubo version: 0.19.2
2024-03-05T17:33:31.566+0530 [INFO]  Main.Core: Repo version: 13
