2024-03-05T15:25:12.903+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8086
2024-03-05T15:25:12.903+0530 [INFO]  Main.Core: IPFS Daemon is ready
2024-03-05T15:25:12.905+0530 [INFO]  Main.Core: Node PeerID : 12D3KooWQL3ycCqN3KCMqMLw2BkhqUransVcJeAc56VDSgfJefih
2024-03-05T15:25:12.905+0530 [INFO]  Main.Core: Setting up the core
2024-03-05T15:25:12.908+0530 [INFO]  Main.Core: Starting the core
2024-03-05T15:25:12.908+0530 [INFO]  Main.Core.enswebserver: Starting Server at localhost:27010
2024-03-05T15:25:12.908+0530 [INFO]  Main.Core.enswebserver: Server running at : https://localhost:27010
2024-03-05T15:25:12.908+0530 [INFO]  Main.grpc: GRPC Server created
2024-03-05T15:25:12.909+0530 [INFO]  Main.grpc: Running GRPC server...
2024-03-05T15:25:12.909+0530 [INFO]  Main: Swagger URL : http://localhost:20005/swagger/index.html
2024-03-05T15:25:12.909+0530 [INFO]  Main: Core version : 0.0.9
2024-03-05T15:25:12.909+0530 [INFO]  Main: Starting server...
2024-03-05T15:25:12.909+0530 [INFO]  Main.enswebserver: Starting Server at localhost:20005
2024-03-05T15:25:12.909+0530 [INFO]  Main.enswebserver: Server running at : http://localhost:20005
2024-03-05T17:34:01.596+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2024-03-05T17:34:01.623+0530 [INFO]  Main.Core: Initializing daemon...
2024-03-05T17:34:01.623+0530 [INFO]  Main.Core: Kubo version: 0.19.2
2024-03-05T17:34:01.623+0530 [INFO]  Main.Core: Repo version: 13
2024-03-05T17:34:01.623+0530 [INFO]  Main.Core: System version: amd64/linux
2024-03-05T17:34:01.623+0530 [INFO]  Main.Core: Golang version: go1.19.8
2024-03-05T17:34:01.663+0530 [INFO]  Main.Core: 
2024-03-05T17:34:01.663+0530 [INFO]  Main.Core: Computed default go-libp2p Resource Manager limits based on:
2024-03-05T17:34:01.663+0530 [INFO]  Main.Core:     - 'Swarm.ResourceMgr.MaxMemory': "8.2 GB"
2024-03-05T17:34:01.663+0530 [INFO]  Main.Core:     - 'Swarm.ResourceMgr.MaxFileDescriptors': 524288
2024-03-05T17:34:01.663+0530 [INFO]  Main.Core: 
2024-03-05T17:34:01.663+0530 [INFO]  Main.Core: Theses can be inspected with 'ipfs swarm resources'.
2024-03-05T17:34:01.663+0530 [INFO]  Main.Core: 
2024-03-05T17:34:11.672+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
